"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"VAMOS"	"TODOS"	"CCM"	"VICTORIA"	"PHG"	"UNIONISTA"	"SEMILLA"	"CREO"	"PC"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7395"	"4"	"6"	"2"	"2"	"376"	"8"	"27"	"1"	"6"	"66"	"14"	"0"	"55"	"5"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"25"	"4"	"0"	"222"	"222"	"1"	"0"
"7396"	"4"	"6"	"2"	"2"	"376"	"7"	"34"	"3"	"4"	"71"	"10"	"0"	"58"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"26"	"6"	"0"	"226"	"226"	"1"	"0"
"7397"	"4"	"6"	"2"	"2"	"380"	"11"	"27"	"0"	"3"	"66"	"11"	"1"	"56"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"35"	"4"	"0"	"219"	"219"	"1"	"0"
"7398"	"4"	"6"	"2"	"2"	"375"	"13"	"34"	"1"	"1"	"76"	"9"	"2"	"44"	"3"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"20"	"5"	"0"	"212"	"212"	"1"	"0"
"7399"	"4"	"6"	"2"	"2"	"380"	"12"	"39"	"2"	"9"	"62"	"16"	"0"	"58"	"4"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"18"	"3"	"0"	"227"	"227"	"1"	"0"
"7400"	"4"	"6"	"2"	"2"	"380"	"12"	"20"	"2"	"8"	"82"	"28"	"1"	"50"	"5"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"13"	"2"	"0"	"233"	"233"	"1"	"0"
"7401"	"4"	"6"	"2"	"2"	"380"	"12"	"27"	"2"	"9"	"109"	"28"	"4"	"55"	"3"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"3"	"1"	"0"	"263"	"263"	"1"	"0"
"7402"	"4"	"6"	"2"	"2"	"268"	"15"	"15"	"1"	"2"	"68"	"22"	"0"	"34"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"7"	"0"	"0"	"166"	"166"	"1"	"0"
"7403"	"4"	"6"	"2"	"2"	"268"	"11"	"23"	"4"	"5"	"54"	"17"	"0"	"32"	"4"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"6"	"0"	"1"	"162"	"162"	"1"	"0"
"7404"	"4"	"6"	"2"	"2"	"380"	"58"	"15"	"3"	"5"	"51"	"12"	"1"	"79"	"1"	"8"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"30"	"5"	"0"	"281"	"281"	"1"	"0"
