"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"PODEMOS"	"FUERZA"	"UCN"	"MLP"	"SEMILLA"	"CREO"	"BIEN"	"LIBRE"	"UNIONISTA"	"PC"	"PHG"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7192"	"4"	"5"	"13"	"2"	"374"	"69"	"10"	"12"	"53"	"2"	"0"	"0"	"3"	"3"	"8"	"1"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"10"	"3"	"0"	"197"	"197"	"1"	"0"
"7193"	"4"	"5"	"13"	"2"	"350"	"60"	"5"	"13"	"79"	"0"	"2"	"0"	"2"	"9"	"4"	"0"	"18"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"10"	"4"	"0"	"208"	"208"	"1"	"0"
"7194"	"4"	"5"	"13"	"2"	"351"	"67"	"3"	"8"	"83"	"2"	"2"	"1"	"1"	"3"	"10"	"0"	"24"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"5"	"8"	"0"	"221"	"221"	"1"	"0"
"7195"	"4"	"5"	"13"	"2"	"372"	"82"	"5"	"75"	"35"	"3"	"4"	"0"	"1"	"3"	"0"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"21"	"8"	"0"	"245"	"245"	"1"	"0"
"7196"	"4"	"5"	"13"	"2"	"375"	"65"	"4"	"93"	"55"	"2"	"7"	"0"	"1"	"5"	"3"	"0"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"20"	"3"	"0"	"275"	"275"	"1"	"0"
"7197"	"4"	"5"	"13"	"2"	"374"	"73"	"8"	"85"	"34"	"0"	"5"	"1"	"1"	"4"	"2"	"3"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"13"	"5"	"0"	"245"	"245"	"1"	"0"
"7198"	"4"	"5"	"13"	"2"	"380"	"67"	"11"	"73"	"46"	"0"	"11"	"0"	"2"	"2"	"1"	"3"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"14"	"6"	"0"	"244"	"244"	"1"	"0"
"7199"	"4"	"5"	"13"	"2"	"370"	"69"	"10"	"102"	"32"	"2"	"10"	"2"	"4"	"0"	"5"	"1"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"12"	"8"	"20"	"268"	"268"	"1"	"0"
"7200"	"4"	"5"	"13"	"2"	"375"	"68"	"8"	"71"	"42"	"3"	"7"	"1"	"4"	"3"	"0"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"26"	"7"	"0"	"250"	"250"	"1"	"0"
"7201"	"4"	"5"	"13"	"2"	"295"	"50"	"4"	"58"	"29"	"2"	"5"	"2"	"2"	"2"	"2"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"13"	"6"	"0"	"185"	"185"	"1"	"0"
"7202"	"4"	"5"	"13"	"2"	"294"	"53"	"8"	"61"	"40"	"0"	"5"	"0"	"5"	"4"	"1"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"10"	"8"	"0"	"203"	"203"	"1"	"0"
"7203"	"4"	"5"	"13"	"2"	"380"	"114"	"4"	"4"	"118"	"2"	"0"	"1"	"2"	"4"	"3"	"2"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"13"	"5"	"0"	"282"	"282"	"1"	"0"
