"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"VICTORIA"	"UNE"	"FCN_NACION"	"VIVA"	"CONVERGENCIA"	"CREO"	"WINAQ"	"UNIONISTA"	"FUERZA"	"LIBRE"	"PPT"	"PHG"	"BIEN"	"UCN"	"MLP"	"PC"	"VALOR"	"SEMILLA"	"EG"	"UNIDOS"	"PAN"	"URNG_MAIZ"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11499"	"3"	"12"	"1"	"2"	"397"	"15"	"4"	"1"	"10"	"7"	"5"	"0"	"9"	"10"	"6"	"1"	"7"	"1"	"6"	"5"	"2"	"3"	"2"	"5"	"22"	"11"	"1"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"33"	"13"	"0"	"187"	"187"	"1"	"0"
"11500"	"3"	"12"	"1"	"2"	"400"	"14"	"10"	"2"	"9"	"11"	"7"	"4"	"11"	"13"	"3"	"6"	"10"	"0"	"12"	"3"	"3"	"3"	"1"	"4"	"25"	"14"	"1"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"21"	"10"	"0"	"205"	"205"	"1"	"0"
"11501"	"3"	"12"	"1"	"2"	"400"	"13"	"5"	"2"	"14"	"11"	"14"	"0"	"9"	"8"	"1"	"0"	"7"	"4"	"6"	"3"	"3"	"2"	"3"	"5"	"11"	"11"	"6"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"145"	"145"	"31"	"18"	"0"	"194"	"194"	"1"	"0"
"11502"	"3"	"12"	"1"	"2"	"316"	"5"	"6"	"1"	"8"	"12"	"1"	"1"	"5"	"7"	"0"	"3"	"5"	"1"	"4"	"1"	"0"	"0"	"1"	"0"	"6"	"5"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"77"	"77"	"13"	"6"	"0"	"96"	"96"	"1"	"0"
"11503"	"3"	"12"	"1"	"2"	"0"	"0"	"0"	"1"	"6"	"5"	"3"	"1"	"2"	"1"	"0"	"1"	"3"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"4"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"35"	"35"	"3"	"2"	"0"	"40"	"40"	"1"	"0"
"11504"	"3"	"12"	"2"	"2"	"400"	"31"	"3"	"1"	"11"	"12"	"25"	"4"	"5"	"9"	"2"	"5"	"8"	"2"	"3"	"13"	"8"	"5"	"5"	"4"	"26"	"4"	"4"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"40"	"21"	"0"	"261"	"261"	"1"	"0"
"11505"	"3"	"12"	"2"	"2"	"400"	"27"	"4"	"3"	"19"	"21"	"29"	"8"	"4"	"12"	"5"	"2"	"4"	"1"	"5"	"7"	"3"	"0"	"3"	"7"	"31"	"3"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"40"	"14"	"0"	"260"	"260"	"1"	"0"
"11506"	"3"	"12"	"2"	"2"	"400"	"34"	"8"	"1"	"21"	"8"	"14"	"7"	"3"	"14"	"3"	"5"	"4"	"0"	"6"	"21"	"5"	"8"	"2"	"8"	"31"	"8"	"4"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"43"	"14"	"0"	"279"	"279"	"1"	"0"
"11507"	"3"	"12"	"2"	"2"	"400"	"38"	"7"	"1"	"18"	"14"	"24"	"2"	"2"	"12"	"5"	"5"	"4"	"0"	"6"	"10"	"4"	"4"	"5"	"11"	"29"	"2"	"5"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"33"	"16"	"0"	"267"	"267"	"1"	"0"
"11508"	"3"	"12"	"2"	"2"	"400"	"33"	"3"	"1"	"16"	"15"	"32"	"6"	"9"	"10"	"5"	"6"	"5"	"1"	"5"	"8"	"7"	"8"	"5"	"5"	"34"	"5"	"9"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"41"	"10"	"0"	"289"	"289"	"1"	"0"
