"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PHG"	"VAMOS"	"UCN"	"URNG_MAIZ"	"FUERZA"	"PC"	"PPT"	"TODOS"	"FCN_NACION"	"UNIONISTA"	"UNE"	"SEMILLA"	"CREO"	"PAN"	"VALOR"	"VIVA"	"CONVERGENCIA"	"PODEMOS"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12982"	"4"	"13"	"1"	"2"	"380"	"6"	"35"	"98"	"2"	"8"	"6"	"3"	"1"	"23"	"2"	"6"	"3"	"0"	"3"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"6"	"7"	"0"	"215"	"215"	"1"	"0"
"12983"	"4"	"13"	"1"	"2"	"380"	"5"	"31"	"88"	"1"	"2"	"2"	"3"	"4"	"31"	"5"	"4"	"4"	"2"	"3"	"5"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"11"	"8"	"0"	"214"	"214"	"1"	"0"
"12984"	"4"	"13"	"1"	"2"	"380"	"5"	"34"	"89"	"2"	"2"	"3"	"2"	"2"	"23"	"2"	"8"	"1"	"0"	"0"	"2"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"11"	"10"	"0"	"199"	"199"	"1"	"0"
"12985"	"4"	"13"	"1"	"2"	"309"	"1"	"19"	"54"	"1"	"5"	"2"	"1"	"2"	"20"	"2"	"6"	"2"	"0"	"4"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"124"	"124"	"3"	"6"	"0"	"133"	"133"	"1"	"0"
"12986"	"4"	"13"	"1"	"2"	"308"	"9"	"39"	"69"	"3"	"0"	"4"	"1"	"2"	"17"	"5"	"7"	"0"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"5"	"0"	"0"	"165"	"165"	"1"	"0"
"12987"	"4"	"13"	"1"	"2"	"378"	"8"	"38"	"19"	"4"	"2"	"3"	"2"	"0"	"32"	"2"	"15"	"2"	"1"	"4"	"5"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"142"	"142"	"8"	"13"	"0"	"163"	"163"	"1"	"0"
"12988"	"4"	"13"	"1"	"2"	"376"	"16"	"75"	"27"	"3"	"3"	"1"	"0"	"1"	"24"	"3"	"12"	"1"	"1"	"2"	"8"	"5"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"11"	"4"	"0"	"203"	"203"	"1"	"0"
"12989"	"4"	"13"	"1"	"2"	"341"	"10"	"42"	"19"	"2"	"3"	"6"	"1"	"3"	"21"	"1"	"6"	"2"	"0"	"1"	"3"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"122"	"122"	"14"	"6"	"0"	"142"	"142"	"1"	"0"
"12990"	"4"	"13"	"1"	"2"	"340"	"14"	"47"	"18"	"2"	"1"	"3"	"0"	"0"	"24"	"2"	"12"	"3"	"0"	"3"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"15"	"4"	"0"	"152"	"152"	"1"	"0"
"12991"	"4"	"13"	"1"	"2"	"375"	"8"	"55"	"55"	"3"	"3"	"9"	"1"	"13"	"23"	"4"	"16"	"5"	"1"	"2"	"5"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"14"	"3"	"0"	"221"	"221"	"1"	"0"
