"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FUERZA"	"PC"	"VAMOS"	"UNIDOS"	"PODEMOS"	"SEMILLA"	"FCN_NACION"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15196"	"4"	"14"	"12"	"2"	"400"	"198"	"0"	"23"	"4"	"2"	"6"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"8"	"3"	"0"	"247"	"247"	"1"	"0"
"15197"	"4"	"14"	"12"	"2"	"383"	"191"	"3"	"13"	"3"	"2"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"9"	"4"	"0"	"230"	"230"	"1"	"0"
"15198"	"4"	"14"	"12"	"2"	"0"	"191"	"1"	"12"	"2"	"1"	"5"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"4"	"4"	"0"	"222"	"222"	"1"	"0"
"15199"	"4"	"14"	"12"	"2"	"400"	"95"	"1"	"78"	"3"	"0"	"1"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"8"	"12"	"0"	"204"	"204"	"1"	"0"
"15200"	"4"	"14"	"12"	"2"	"400"	"97"	"4"	"58"	"2"	"3"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"10"	"8"	"0"	"186"	"186"	"1"	"0"
"15201"	"4"	"14"	"12"	"2"	"400"	"96"	"3"	"83"	"0"	"1"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"5"	"16"	"0"	"210"	"210"	"1"	"0"
"15202"	"4"	"14"	"12"	"2"	"400"	"130"	"1"	"97"	"4"	"2"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"9"	"5"	"0"	"254"	"254"	"1"	"1"
"15203"	"4"	"14"	"12"	"2"	"400"	"122"	"1"	"77"	"3"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"7"	"6"	"0"	"221"	"221"	"1"	"0"
"15204"	"4"	"14"	"12"	"2"	"400"	"141"	"2"	"30"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"3"	"8"	"0"	"194"	"194"	"1"	"0"
"15205"	"4"	"14"	"12"	"2"	"400"	"100"	"4"	"52"	"8"	"2"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"19"	"0"	"0"	"191"	"191"	"1"	"0"
"15206"	"4"	"14"	"12"	"2"	"400"	"107"	"1"	"59"	"2"	"1"	"2"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"6"	"4"	"0"	"188"	"188"	"1"	"0"
"15207"	"4"	"14"	"12"	"2"	"400"	"127"	"1"	"54"	"1"	"2"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"5"	"5"	"0"	"199"	"199"	"1"	"0"
